,train_loss,val_loss
0,1.3634316055742028,1.3567617893218995
1,1.3457127553687247,1.353298830986023
2,1.3425073607327187,1.3532674193382264
3,1.342130825399808,1.352752721309662
4,1.342296312388764,1.3525104641914367
5,1.3423214497631544,1.351867938041687
6,1.341384417934505,1.3514584183692933
7,1.3418833980821585,1.3508849263191225
8,1.3409187047993212,1.3512983322143557
9,1.3405965768038954,1.3504674553871154
10,1.33914993506044,1.349373281002045
11,1.3347850607954748,1.346136713027954
12,1.310498712269683,1.3185146927833558
13,1.135161146997861,1.2496059596538545
14,1.0363500224400872,1.1758949398994445
15,1.0027393396586588,1.1151219010353088
16,0.9573386556481662,1.0882426619529724
17,0.8777487664462225,0.9856668829917908
18,0.8138764746929412,0.6823393285274506
19,0.7291018410360433,0.6931291460990906
20,0.6653778476802181,0.8903777778148652
21,0.6025106463258125,0.7117455482482911
22,0.5561053116708041,0.6406055837869644
23,0.5315621745640828,0.5506269454956054
24,0.4752308910704094,0.5434299051761627
25,0.4343435112471994,0.413444709777832
26,0.4106642898495339,0.3917472526431084
27,0.3765777755681782,0.4442860819399357
28,0.3697928791040699,0.2724051505327224
29,0.3301151597608714,0.3386194253340363
30,0.3047634769724384,0.2334056407213211
31,0.2958027180879627,0.2538692027330398
32,0.2808319584351696,0.2190035879611969
33,0.263934793010286,0.3156510851345956
34,0.2546946134112061,0.1924819488078356
35,0.2546077396584564,0.1871505439281463
36,0.2265189499998269,0.2171014787163585
37,0.229051361642948,0.1770399790257215
38,0.2333559311722239,0.1361399545334279
39,0.2239698734491655,0.1795927961356938
40,0.2141629558175666,0.1313084974884986
41,0.1980174029305509,0.0995559699833393
42,0.1955014310402957,0.1428494777530431
43,0.1942299184257581,0.1622609813697636
44,0.1885736198015681,0.1152191047556698
45,0.176590808518401,0.1075441827997565
46,0.1790262453564226,0.1040785218589007
47,0.1725387209303439,0.1062091234372928
48,0.1613499812917894,0.1521647430956363
49,0.1651382677035925,0.0818992887623608
50,0.1605751792810959,0.0883270776830613
51,0.1561082402950144,0.1592198234284296
52,0.1539485896405972,0.1166452372446656
53,0.15046530800391,0.1247035081498324
54,0.1448092426186147,0.094078349834308
55,0.1441243146822605,0.0693124647717922
56,0.1302064156997523,0.0972771332133561
57,0.1421126006511316,0.0880936966277659
58,0.1354821841466372,0.0665230794926174
59,0.1371042737014353,0.0828930384479463
60,0.1257633538406393,0.0551272396929562
61,0.1239003629368394,0.054634948587045
62,0.1336216339905274,0.0980302436044439
63,0.1246203953510822,0.081951156881405
64,0.133098768436065,0.0709325122646987
65,0.1107421253157192,0.0490123711861087
66,0.1244177611281066,0.0632084532175213
67,0.1218205407627573,0.0837869614828377
68,0.1063710496278233,0.0645263492478989
69,0.1147957417442033,0.0468233896419405
70,0.1003877439804069,0.0442050287267193
71,0.0998422816144855,0.0544710514717735
72,0.108446523883129,0.0569727208581753
73,0.1081431734771148,0.0595340152736753
74,0.0968279979440498,0.0546300306014018
75,0.1034122875202702,0.0541467229719273
76,0.1049692975782436,0.0400085691842832
77,0.1023078905471672,0.0591258762869983
78,0.1115843240579921,0.1017538640648126
79,0.1099379658528931,0.0832634703896474
80,0.0903900332709553,0.0432024582027224
81,0.0951050131849638,0.0612085986620513
82,0.0902355063481247,0.1417500904295593
83,0.0930553582671298,0.0490091633546398
84,0.0851580347274706,0.0543105778342578
85,0.0947178340528679,0.0476600030262488
86,0.0865754317545404,0.0319455505581572
87,0.0852777972098729,0.0454756576218642
88,0.0840360418588803,0.0281638099171686
89,0.0787813019381674,0.0397592062188778
90,0.0730384516622233,0.041669322369853
91,0.0802032925251267,0.0273395270352921
92,0.0741218878402795,0.0370757653785403
93,0.081279905264151,0.1096127117265496
94,0.0761229717746785,0.0360404227627441
95,0.0745485975900367,0.0386500560445711
96,0.0755614101191446,0.0541551923961378
97,0.0831319314452126,0.0315786794366431
98,0.0695006051164579,0.0158286214953477
99,0.07344868223046773,0.04048718419508077
